model,epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@1,cos_sim-Recall@1,cos_sim-Precision@3,cos_sim-Recall@3,cos_sim-Precision@5,cos_sim-Recall@5,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-MRR@10,cos_sim-NDCG@10,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@1,dot_score-Recall@1,dot_score-Precision@3,dot_score-Recall@3,dot_score-Precision@5,dot_score-Recall@5,dot_score-Precision@10,dot_score-Recall@10,dot_score-MRR@10,dot_score-NDCG@10,dot_score-MAP@100
KoSimCSE,-1,-1,0.4565425023877746,0.6341929321872015,0.6943648519579751,0.775549188156638,0.4565425023877746,0.4565425023877746,0.2113976440624005,0.6341929321872015,0.138872970391595,0.6943648519579751,0.0775549188156637,0.775549188156638,0.558354557996392,0.6104725391331709,0.5660207518685775,0.4097421203438395,0.5921680993314231,0.664756446991404,0.7526265520534862,0.4097421203438395,0.4097421203438395,0.1973893664438077,0.5921680993314231,0.1329512893982808,0.664756446991404,0.0752626552053486,0.7526265520534862,0.5173780718909657,0.5737616268666965,0.5261047798057644
Epoch2,-1,-1,0.8433619866284623,0.9484240687679084,0.9646609360076408,0.9780324737344794,0.8433619866284623,0.8433619866284623,0.3161413562559694,0.9484240687679084,0.1929321872015282,0.9646609360076408,0.0978032473734479,0.9780324737344794,0.8973677627689092,0.9175194941051488,0.8981735343096556,0.8185291308500477,0.9436485195797516,0.9637058261700095,0.9789875835721108,0.8185291308500477,0.8185291308500477,0.3145495065265838,0.9436485195797516,0.1927411652340019,0.9637058261700095,0.097898758357211,0.9789875835721108,0.8838684980518795,0.9076928452185928,0.8845664363497789
mj_epoch1,-1,-1,0.7889207258834766,0.8987583572110793,0.9264565425023876,0.9474689589302768,0.7889207258834766,0.7889207258834766,0.2995861190703597,0.8987583572110793,0.1852913085004775,0.9264565425023876,0.0947468958930277,0.9474689589302768,0.8476956080107945,0.8723353185025247,0.8492169642135714,0.778414517669532,0.8872970391595033,0.9245463228271252,0.9455587392550144,0.778414517669532,0.778414517669532,0.2957656797198344,0.8872970391595033,0.184909264565425,0.9245463228271252,0.0945558739255014,0.9455587392550144,0.8386819484240694,0.864969791685099,0.8403227154461552
mj_epoch2,-1,-1,0.8118433619866284,0.9111747851002864,0.9340974212034384,0.9551098376313276,0.8118433619866284,0.8118433619866284,0.3037249283667622,0.9111747851002864,0.1868194842406877,0.9340974212034384,0.0955109837631327,0.9551098376313276,0.8651441761040618,0.8872972108844248,0.8665716171349532,0.8051575931232091,0.9140401146131804,0.9312320916905444,0.9541547277936964,0.8051575931232091,0.8051575931232091,0.3046800382043935,0.9140401146131804,0.1862464183381089,0.9312320916905444,0.0954154727793696,0.9541547277936964,0.8615685784023895,0.8844313943797517,0.8630298844279939
mj_epoch3,-1,-1,0.8357211079274116,0.9216809933142311,0.9398280802292264,0.956064947468959,0.8357211079274116,0.8357211079274116,0.3072269977714103,0.9216809933142311,0.1879656160458452,0.9398280802292264,0.0956064947468958,0.956064947468959,0.8820981337456986,0.9003771514263378,0.8832789115963419,0.8233046800382043,0.9245463228271252,0.9407831900668576,0.9551098376313276,0.8233046800382043,0.8233046800382043,0.3081821076090417,0.9245463228271252,0.1881566380133715,0.9407831900668576,0.0955109837631327,0.9551098376313276,0.8757652249056265,0.8954729338329909,0.8769746016675959
mj_epoch4,-1,-1,0.8357211079274116,0.9197707736389684,0.938872970391595,0.956064947468959,0.8357211079274116,0.8357211079274116,0.3065902578796561,0.9197707736389684,0.187774594078319,0.938872970391595,0.0956064947468958,0.956064947468959,0.8811911584117892,0.8996732583226059,0.8824401360986865,0.8290353390639924,0.9188156638013372,0.9379178605539638,0.9570200573065902,0.8290353390639924,0.8290353390639924,0.306271887933779,0.9188156638013372,0.1875835721107927,0.9379178605539638,0.095702005730659,0.9570200573065902,0.8778270493170208,0.8973527143777763,0.8790069689537974
mj_epoch5,-1,-1,0.8319006685768864,0.9178605539637058,0.9350525310410696,0.9531996179560648,0.8319006685768864,0.8319006685768864,0.3059535179879019,0.9178605539637058,0.1870105062082139,0.9350525310410696,0.0953199617956065,0.9531996179560648,0.8780070799411774,0.8965600694922856,0.8793308695076116,0.8213944603629417,0.9149952244508118,0.9312320916905444,0.9512893982808024,0.8213944603629417,0.8213944603629417,0.3049984081502705,0.9149952244508118,0.1862464183381088,0.9312320916905444,0.0951289398280802,0.9512893982808024,0.8721668864935342,0.8917907165085681,0.8735662381410148
mj_epoch6,-1,-1,0.8271251193887297,0.9159503342884432,0.9350525310410696,0.9541547277936964,0.8271251193887297,0.8271251193887297,0.3053167780961477,0.9159503342884432,0.1870105062082139,0.9350525310410696,0.0954154727793696,0.9541547277936964,0.8755848152696293,0.8949687073636308,0.8768199080918674,0.8223495702005731,0.9159503342884432,0.933142311365807,0.9522445081184336,0.8223495702005731,0.8223495702005731,0.3053167780961477,0.9159503342884432,0.1866284622731614,0.933142311365807,0.0952244508118433,0.9522445081184336,0.8726683191582908,0.892374207253553,0.8740280464869441
mj_epoch7,-1,-1,0.833810888252149,0.9207258834765998,0.9350525310410696,0.9541547277936964,0.833810888252149,0.833810888252149,0.3069086278255332,0.9207258834765998,0.1870105062082139,0.9350525310410696,0.0954154727793696,0.9541547277936964,0.8803069237882992,0.8985801489946083,0.8816189881153216,0.8261700095510984,0.9216809933142311,0.9350525310410696,0.9541547277936964,0.8261700095510984,0.8261700095510984,0.3072269977714103,0.9216809933142311,0.1870105062082139,0.9350525310410696,0.0954154727793696,0.9541547277936964,0.876498233804824,0.8957564214182601,0.8777695469133604
mj_epoch8,-1,-1,0.828080229226361,0.9159503342884432,0.933142311365807,0.9531996179560648,0.828080229226361,0.828080229226361,0.3053167780961477,0.9159503342884432,0.1866284622731614,0.933142311365807,0.0953199617956065,0.9531996179560648,0.8755074968542018,0.8946793242130402,0.8769345492770537,0.8213944603629417,0.9140401146131804,0.936007640878701,0.9541547277936964,0.8213944603629417,0.8213944603629417,0.3046800382043934,0.9140401146131804,0.1872015281757402,0.936007640878701,0.0954154727793696,0.9541547277936964,0.8725466563575448,0.8927460190999891,0.873844840187152
mj_epoch9,-1,-1,0.8271251193887297,0.9111747851002864,0.9312320916905444,0.9503342884431708,0.8271251193887297,0.8271251193887297,0.3037249283667622,0.9111747851002864,0.1862464183381089,0.9312320916905444,0.095033428844317,0.9503342884431708,0.8729131608071439,0.891957254379317,0.8741228142118378,0.8185291308500477,0.9102196752626552,0.9302769818529132,0.9503342884431708,0.8185291308500477,0.8185291308500477,0.303406558420885,0.9102196752626552,0.1860553963705826,0.9302769818529132,0.0950334288443171,0.9503342884431708,0.8676301147647858,0.8880096901873497,0.8688003501431265
mj_epoch10,-1,-1,0.836676217765043,0.9235912129894938,0.9436485195797516,0.9551098376313276,0.836676217765043,0.836676217765043,0.3078637376631645,0.9235912129894938,0.1887297039159503,0.9436485195797516,0.0955109837631327,0.9551098376313276,0.8820261214960359,0.900159270565845,0.8829053111080967,0.8328557784145176,0.9207258834765998,0.9436485195797516,0.9531996179560648,0.8328557784145176,0.8328557784145176,0.3069086278255332,0.9207258834765998,0.1887297039159503,0.9436485195797516,0.0953199617956065,0.9531996179560648,0.8794272373068939,0.8977964227105522,0.880494221318525
